count,label,text_clean
194,1,there is no one to play with here but ive always loved playing yugioh tcg more than playing pokemon tcg
195,1,ahh this cover i love it so much congrats cant wait to buy and read it
196,1,if u stan cix i love u
197,1,this be my girl ordering my products i love this
198,1,love love love
199,1,i have so much love for her
200,1,when she added a g and s to an instagram gif to make my g styles shes the most adorable i love her
201,1,lrt its the boys i love them so much
202,1,im so sorry giving you so much love and strength
203,1,stop i was so scared the boys group chat was all also gonna say no they dont wash it
204,1,i love her account sm
205,1,he loves yedams voices
206,1,i love how the river does weddings
207,1,crying this is the cutest
208,1,love u doyoung
209,1,get well po love
210,1,wait i wanna do that i love oreo mcflurries
211,1,things i love the most about playing genshin on low graphics are robloxlike buildings
212,1,awww yay i love you too and thank youuuu thank you im sure well both really enjoy them uvu
213,1,omgg thank uuu
214,1,i love mine
215,1,harry i love you thank you for all the things you did i love you soooo much
216,1,right i love them sm i wonder if theyd ever make something together thatd be such a cute anime
217,1,koos little sound effects he makes while drawing hes so lovely
218,1,you love it when im annoying
219,1,yesss love
220,1,here i am
221,1,i love you too
222,1,jimin is the cutest i love him
223,1,i really really love when scoups is singing the vibe is so different
224,1,how are yall today remember that you are loved and worthy and plss stay safe imissyou amp iloveyousomuch
225,1,love love
226,1,i love you
227,1,i love you
228,1,hes such a dummie i love him
229,1,love love it so muuuch
230,1,yesss even just one i wouldve loved to see some of the stuff in the novel epilogues omg but tha
231,1,thx for all the love on this
232,1,this is so soft anne i love it sm
233,1,i never feel like its ready cus im always doing something in the spring i will
234,1,jadne my beloved
235,1,thank u so much for doing this i love u so much pls
236,1,right
237,1,kol im so happy for you two you both look so lovely congratulations im
238,1,why make me cry like this i love you so much
239,1,damn this is better than getting a walk of fame star love you don
240,1,i love uuuu u made my day
241,1,stfu
242,1,in the name of love for treasure
243,1,i loved this
244,1,i love you so much
245,1,gosh he finally said i love you when he drop me at home
246,1,ness crazy people i love yall
247,1,man i love kai so much
248,1,i will love you lara jean always anda forever
249,1,im happy you still think about that fic sfisjfisj thank u for showing me these btw sea glass is so lovely
250,1,lmk when yall read to kill a mockingbird
251,1,i thought i was running outta love but i got forgot ion never give it out
252,1,love u too
253,1,im in love with this man
254,1,of course
255,1,i love when he wanna eat it for no reason
256,1,you look like a cute lil chick in yellow hoodie i love you i love you i love you happy birthda
257,1,congrats baby im so inlove with you i want to marry someone like her in the future
258,1,this made me so emo thank you so much hika i love you i was only able to record t
259,1,aaaaah i see me love u
260,1,karl gifted 50 subs to syk i love them your honor
261,1,no worries meowsh its understandable hope things go well for you soon
262,1,tysm bby take care ilusm
263,1,in honor of february 1st i love valentines day meme cards
264,1,im watching coop play video games for the first time since we started dating and ive never been so in love
265,1,ikr i love him so very much
266,1,will love alarm just get a new season already or will i just have to rewatch season 1 for the 4th time
267,1,ahh i love these ocs so much so cute
268,1,no i love you more
269,1,i cant wait to relive being a child again on april ninth i love taylor swift sm
270,1,wash your hands longer than i was on drag race i love u
271,1,always in the friendzone with u but still i love u always
272,1,dogecoin i love u babe
273,1,this man had no intention of finding loveacstmo
274,1,cows it seems weird to some people but i literally love cows so much ive spent entire paychecks o
275,1,i love this family theyre so adorable
276,1,i would love love love to wake up to 200 sales 4 more to go a free keyring for my 200th order
277,1,they love eachother so much these quotes
278,1,ahhhh tysm for liking my tweet im the happiest thank youuuuuu i love u so f much
279,1,i love youuuu thats you
280,1,hannah he loves you sm
281,1,om shanti another tragic death ripsandeepnahar
282,1,for you too lots of love
283,1,we love u sm
284,1,send me some love
285,1,thank you
286,1,i love you sam
287,1,happy valentines day mari i love you sobra sobra
288,1,i love herrrrrr
289,1,you gonna love eren oh i love kenny too also hange shes crazy but i like her personality
290,1,im in love with you
291,1,we were both young when i first saw you i love you so much taylor i have grown up with you and your music and th
292,1,i love us
293,1,with love to all my fans we love you so much weve been here for you all this time and no mat
294,1,i love him so much more
295,1,take love cant i get at least one reply from you fridayswitharmaan
296,1,he always showed love everytime i seen himthis shit is so unfair
297,1,dhisidhjsid i love this cover so so much
298,1,wishing you the happiest birthday loveyu
299,1,see when i told you youll love this show
300,1,i love hourly vminkook account
301,1,love love love
302,1,wait what by who omg thats awfulalso your art is beautiful fit i always love your fanarts
303,1,tysm krista happy valentines day remember that youre loved as well
304,1,remember that time you loaned me your credit card yeah they told me you didnt pay towards it in months
305,1,mena i love you so muchtalk to me or take a break if you need anything i am here for you
306,1,i loved her so much before she cheated on me with her bed im done with life
307,1,i love this
308,1,i just love that design
309,1,man im so happy with how things are going right now im so proud to be a suns fan love yall
310,1,my sweetheart you never deserved any hate you are loved and amazing jennie forever and always thankyoujennie
311,1,if only there were a moral to this tragedy 463k us deaths and counting
312,1,so proud of you jungkook i love you so much 8yearswithjungkook
313,1,the coloring on her leg and i love her face
314,1,i hope i get shown some love today
315,1,i love how you wrapped up all our feels i wanna cry
316,1,i love you cutie
317,1,i love you too
318,1,awwwww i love you lissaaaa im gonna keep you hereeee
319,1,ahhhhh dont every come near aunty funmi thats my love
320,1,if i do tell you iloveyou it dont mean small letters
321,1,i love you so much des
322,1,wasnt able to see my girl bc were doing long distance would love if i could see her
323,1,sixth
324,1,i love you too
325,1,same i love wandering around in games games w big worlds like botw odyssey and gta make it all seem so much more real
326,1,taewe love you so much
327,1,so lovely made me cry but relieved for the happy ending
328,1,i love how yoongi knows when we miss him
329,1,lets not fall in love is one of my all time faves
330,1,i am truly sorry for your loss my condolences love
331,1,see it looks the perfect size in your picture but mine was so big i love it so much
332,1,makes me sad when people tell me id go vegan but i love too much well just eat that and stop eating everyt
333,1,oh wow thats so interesting and also great to hear that someones out there doing this i love this
334,1,omg i love how they all have the same facial expressions lmaooo
335,1,dont touch my heart gulf dont please i love you i love you i love you
336,1,oh my gosh i love you
337,1,ok but i love the labret
338,1,unrequited love truebeauty truebeautyep9
339,1,idk what to say i love enhypen so much
340,1,oh kayei am deeply amp truly so so sorry my heart amp deepest love is with you amp your family sen
341,1,love you
342,1,thank you love means a lot coming from you
343,1,i love water signs
344,1,missing jk
345,1,i could love nothing so much more than this
346,1,i love to see the people on my finsta living their best life
347,1,i love zodiac signs but i dont know them allwhat a shame
348,1,109230 new cases and 2809 more deaths smh remember this is weekend numbers may climb back up at the begin
349,1,happy birthday my love we love you so much
350,1,someone love me like this
351,1,hello i really love ur letters hope you always surrounded by warmth and always found happiness in
352,1,thank you all for so much love on this
353,1,yall i love so much i know i havent been on twitter much lately but damn my heart is so warm for the
354,1,i love her
355,1,i trusted youloved you and you still decided to leave
356,1,love you moree
357,1,i love you so much thanks bestie
358,1,noo stop i love you so much and i always miss talking to you it makes me so happy to know you still feel this way
359,1,no im saying i love seeing love lol my daughter name wont be announced til she here
360,1,so thankful for my boo the whole weekend was perfect i love her whole life
361,1,i love you red rose love
362,1,theres more videos its the first vids on their channel i love watching them also youre welcome an
363,1,sleep well pretty cel
364,1,but you definitely dont know what you are doing to usi love you so much proudoflouis
365,1,i love u lets call smetime soon
366,1,ethan and hila both have virgo moons i love them even more
367,1,one of my recommended au i cried and smile throughout this entire au i loved it so much
368,1,lakeyah were clearly twins name birthday amp all like ive always loved u dawg when are u gonna follow me
369,1,ur such a sweetheart love u millions
370,1,girl its been a week its in the cloud already
371,1,well damm shes fast and i absolutely love it mamanubytm2021
372,1,how could you not love jisoo
373,1,im so thankful for every single one of my friends out here in florida love them all theyre so dear to my heart
374,1,how can you not love this man
375,1,dont ask about king because ill write you a whole essay im in love with my chunky baby
376,1,i want heeseung photocard pls i have no courage to trade my sunjay pcs bc i love it so much
377,1,i love them
378,1,noooo i love them
379,1,mike i love you
380,1,awe thank you
381,1,i love faye
382,1,love you more
383,1,i love this itv soo much we got a lot from just this one interview
384,1,peru loves you we dont have a date
385,1,i love morning zeke hes the happiest baby
386,1,ahhh so many couples on my rl right now i cant handle it i love it
387,1,hahahah omg i love you so much
388,1,id love to hear them sing about personal stuff and past memoriestheir friendships with eo itd be so cool
389,1,hhh thank you so much
390,1,wow i love this
391,1,this is beautiful i love the halo oh my god
392,1,if i have ever given you a ride in francesca i hope you enjoyed it we are parting ways i will always love my
393,1,yeah bro and i always loved you
394,1,how is everyone liking xiao i literally love him so much and hes made me so happy
395,1,stolen from tl how many ily can i get in an hour 5 you dont deserve it 15 ok youre loved 25 your mo
396,1,do you guys eat grapes sorry but i dont i almost choked to death when i was young its traumatizing
397,1,thank you my love
398,1,hope everything goes well tomorrowlt3 finally you can meet engenes in person bby im happy for you have fun love
399,1,i love you so much taylor
400,1,i cannot wait to meet the little love of my life
401,1,right
402,1,i love it
403,1,wait what any mention of even take safe and cautious steps towards it makes me so
404,1,we love love
405,1,idk why i said that quote it just came to mind but i love this pls
406,1,i love waving at kids
407,1,love u sm
408,1,the love of my life
409,1,harry is so loved by millions of people my heart is so full
410,1,the owner of nail unistella loved jcc
411,1,this anniversary made me think of you ik you love the movie
412,1,i love you most
413,1,hi chle i know we dont really interact much but youre a lovely person and i would like to be besties with you
414,1,i love that clip so much
415,1,hyunjin im so in love with u
416,1,duude hes so cute i love him
417,1,we love you
418,1,i love youuuu my baby
419,1,subelo bu animo animo animo one two one two three four five one two one two three four five
420,1,slimz getting ratioed we love to see it
421,1,lovechallenge every fans dream i also that
422,1,were in a rainforest surely theres a waterfall we can make love under
423,1,omg people said first love is hard to forget im sorry lucas
424,1,misery loves company
425,1,i only love ten papa
426,1,okay now i am in love with you
427,1,the way i fell in love when i was editing this allourloverosday 2 happy ros day
428,1,i love her so muchhhh
429,1,i love chris corsini
430,1,i literally love you so much i cant even put it to words lt3
431,1,the way taehyung cherishes little things i love that more about him and ill try the same in life cherishing little moments
432,1,chaii hate u fr this
433,1,sukie i love you
434,1,can zayn malik stop being so cute i love him sm
435,1,664 views on 3 of my videos gears5 much love gears
436,1,taeyong you deserve the whole world you deserve lots of love and happiness please always be healthy and happy
437,1,its because iam in love again with him sis hiks
438,1,love love love
439,1,happy love song haina
440,1,i love my women but i dont know if they love me back
441,1,todays run bts was sooooo much fun i laughed so hard i love them so much
442,1,hey you i love you
443,1,mfs say i love your life like you really dont know whats goin on in it
444,1,this edit worth my pinned tweet i love him
445,1,them casually saying i love yous is really
446,1,thank u lovely
447,1,goodday1stwin mew deserves all the love
448,1,when shel tweets then coaches and young boys jump on it i be so proud like my brother worked so hard for this i love it
449,1,i love those sodalite ones so much
450,1,i love u so much
451,1,i just love surprises
452,1,i work 4 10s and i love how i get 3 days off in a row but damn these days off go by so fast
453,1,bro i really love you
454,1,i love this omg
455,1,i love you too aj
456,1,man of my dreams youre so lovely to me
457,1,if chu wanning unlovable then why the love of my life
458,1,there is an erejean account yall doing gods work i love erejean all my bois love erejean suicidal baster
459,1,i love yoongi
460,1,i love you too
461,1,i love the shamelessness rue
462,1,i love it
463,1,he wants to remember he wants to remember who is this woman and what they loves together he feels bad that he
464,1,inlove you go my model
465,1,the most creative bubbly lovely amp shiny person i know
466,1,omg rn in in my jisung phase and omg i love him so much
467,1,prayers and love for you to help you get through this most awful tragedy
468,1,i love your short hair
469,1,omg i love your account hi
470,1,excited for my loveholic albums na chareng
471,1,i love it
472,1,love u too
473,1,i love it
474,1,please god let me find someone who loves me the way my dad loves my mom
475,1,charity fairy carats we only got a few hours to go for our lovely maknae lee jung chanwe managed to give the
476,1,i miss it i miss it but it is okay he was so happy there yeees
477,1,inshallah you have the wedding of your dreams and the lovestory you deserve
478,1,i love this woman
479,1,love seeing my feeds and storys like this today kinilig din ako
480,1,yeah i think so i love the loud funny types but i also love the quiet sweet ones
481,1,i love him so much what the hell
482,1,the smiles that engenes loves the most
483,1,i love seeing people be happily in love
484,1,i love the look of eyelash extensions but i find them uncomfortable and not worth the trouble
485,1,yesss regardless of where my hyperfixations take me parka is something i will always love i
486,1,thanks love i need help
487,1,by all means my baby i love you
488,1,the lovehate relationship is so funny good morninggggg
489,1,where can i find true love
490,1,you got new message and daily reminder i always love u too in this way remember that
491,1,the wips for this were so neat to see the final is lovely pax look at the blush
492,1,this is a survey about what you think of me i should have written it in englishsorry worship love friend rival
493,1,i love him so much
494,1,does anyone here love bhangra
495,1,this is why hes my boyfriend for life omfg i wanna scream about how much i love him
496,1,i love the idea
497,1,i love be be by oneus
498,1,i will try to finish today
499,1,shitting and crying i love you sm
500,1,i know i love you keep going
501,1,i love you
502,1,their love to moon junnie
503,1,no you rest well and eat well ok i love you dont change who you are because youre my hap
504,1,sola escuchando fake love y just one day
505,1,these people literally saved me i love them so much
506,1,sigh
507,1,i loved my reading with baba and the guy he was talking about was so mad that i just listened to spirit and said
508,1,her songwriting is amazing yeah shes always been so incredibly kind to me we love to hear it shes so cute
509,1,na death dem dey use communicado official announce now
510,1,he loves dad jokes such a weirdo lol
511,1,i love romantic shit all forms of it like gimme
512,1,i love irishspring even though it dries my skin out i only use it to was my hands now
513,1,who hugged me again omg you in love with me or something thanks tho uwu
514,1,aww thank u bestie
515,1,watch me give them the villain charm that i love so much thank you for your tips
516,1,distance is nothing youre right here in my heart thanks for everything i love you so much bam please take careefmfandomxbambam
517,1,atp i dont think pooh love me nomore
518,1,i hate amp love target
519,1,we love you more
520,1,happy new year baby love you so muchhhhhhhhhhhhhhhhhhhhhhhhhhh
521,1,congrats we love u so much bts
522,1,im so overwhelmed with all this work love u school
523,1,a love language i wouldve cried
524,1,a heart of gold hes so oh gosh i love him so much
525,1,i was born for this 5 years into my radio career and im still crazy in love with what i do i love what i do a
526,1,god i freaking love him
527,1,i love u baby
528,1,yes i love him
529,1,why do i love stray kids so much
530,1,jake sim never really fail to make us feel loved every single day im lost for words
531,1,i love pitties i want one so bad
532,1,pls keep posting your cute valentines day pictures i love them
533,1,i just love love so much i love the idea but its not true
534,1,look at how soft they are dazai is so in love i cant even i love this lans
535,1,ill give you my whole world bby marky i love you i love you
536,1,i love you forever
537,1,happy valentine to you my life i love you so much
538,1,yuehua pleasefor the love of god please stop setting woodz up
539,1,i so in love w youuu
540,1,ofc im proud of you for putting it out there and posting it
541,1,thank you for your hard work jungwoo keep shining and be happy always i will always support you and love you
542,1,why dont you make edits for other members i love your edits sm this is an acc for jongdae
543,1,ooh id love too
544,1,oh pls i love this so much
545,1,tysm sha i love u
546,1,i want my son to greet me this way too hey love
547,1,love you too
548,1,i love this
549,1,happy motmot pawentssss we love u
550,1,i love older ones speakerboxxx the love below dirty computer and sss omfg amin janet wowwwwwww
551,1,i literally seen this and thought of you straight away wont surprise me if you got one
552,1,jk your voice your smile your heart are treasured in my soul i love you kca votedynamite
553,1,good ninni handsome i am 1000000 sure you will always ignore me fir bhi i love you inna sa
554,1,i just love red hair
555,1,i love youuu tooo
556,1,what kind of chocolates do you like
557,1,this song with the two of them makes my heart weak i love this
558,1,omg youre so beautiful i love youuuuu
559,1,i love her too
560,1,of course love im so glad that could help you
561,1,naga im gonna cry i love them
562,1,tiny love
563,1,is love story still on 4
564,1,im in love with you and now you know
565,1,happy birthday to the one of many who saved my life i love you happy birthday
566,1,i love you toooo
567,1,i love you so much to the point that i had to beg god to help me unloved u
568,1,last night jr was being a jerk and i said just gimmie a kiss and he grabs my face and gives me a big kiss i love being his tia
569,1,i love him i love how he acknowledged that we can make mistakes and learn from it
570,1,manifestinggg neverbeeninlove plt
571,1,bbut u are bigger to me hehe im honored btw love ur acc
572,1,take your time mingi we love u
573,1,i just really love how wholesome this is i literally cannot get over this comic pos
574,1,d20 i love every little detail about you happydayswithrocky rockystarisborn
575,1,right where you left me tune help im crying over love story lovestorytaylorsversion
576,1,i love you
577,1,i love how every single one of my housemates can throw down in the kitchen
578,1,omg i love this song its so cute cant wait to read
579,1,jaemin loves jisung so much
580,1,omg i love you
581,1,i love it here
582,1,this song has connected me even more after it was rerecorded it i love her so so so much lovestorytaylorsversionoutnow
583,1,her ratio compared to finns
584,1,i love when ppl rt old stuff from bts twt acc
585,1,han realstays love u straykids skz stay skzhan
586,1,we love promoting the trailer snydercut zacksnydersjusticeleague
587,1,i love you congratulations
588,1,i love jueyun karst
589,1,my 7yearold is sad because he cant give his crush a flower and a hug for valentines puppy love
590,1,i love their bond
591,1,the fact that this mans family loves my baby girl like if she was on of theres is so heart warming my second fam right there
592,1,love u more
593,1,they know we love that legendary bridge and now we have this raspy jimin voice singing it
594,1,congrats love we are so so proud of you
595,1,i saw that b4 but queen halsey we love her
596,1,so proud of you sending love and happiness
597,1,write your girlfriend a paragraph telling her how much you love and appreciate her and she will read it a thousand times
598,1,love you girl
599,1,the maze runner film trilogy is so good the death cure really has me shook
600,1,lovely you
601,1,love my yoongi ah happy new year
602,1,i would love to host a risomelo week but i can barely keep my own life on track let alone organize a whole ass fandom ship week
603,1,i cant stop thinking about wonjin cornetto ubebe i love your way
604,1,damn i love herrr
605,1,happy 9 years with you love i love you so much i miss youuuuu 9yearswithsuho 9yearswithjunmyeon
606,1,love you so much im crying
607,1,i love how terrell went from saying my full name to val that boy fr has my heart
608,1,happy valentines day armys and i love yall
609,1,the moment when sidharth won trophy and the love of his life shehnaaz sidnaaz
610,1,i love chris so much
611,1,lord knows i love a dark skinned man on his shit oun know why i keep ending up with light skins
612,1,omg when pharmacy students message me on ig asking for help with pre reg that year was so tough so i always love helping
613,1,the way shes so passionate and dedicated into a character makes me love her more
614,1,its just bc i love u sorry valentine bestie
615,1,same sis
616,1,i love you too
617,1,i love you so damn much
618,1,im in love with
619,1,hey i love u all of u guys so much happy carat day
620,1,omgthis
621,1,keep shining i love you both so much and i just hope and pray that each thing you ever do turns out well am
622,1,sadies the cutest person ever i just love her so much
623,1,love the variety
624,1,i love fen so much compdual really said im going to single out kam w every side character and make them fall in love
625,1,i miss you more cutieee i love you
626,1,friendship and love
627,1,ugh i love boyle
628,1,i love your short comics can you make a bongbeom valentines day special short comic please omg thankyouu lt
629,1,my doctor is like this i love her so much
630,1,im sorryyy thank you and ilove yall treasure saranghae treasuremusiccore treasure
631,1,twitter is my place to express my toxic need to love everyone
632,1,1111 i love you most mahal ko
633,1,hi i absolutely love your writing thank you so much
634,1,i love u so much
635,1,i love youuu
636,1,no im genuinely happy rn this is my childhood lovestorytaylorsversion taylorsversion
637,1,i love it
638,1,we only shared 5 sentences but i feel like ive lost my one true love will this pain never end
639,1,i love u so much
640,1,my love
641,1,i would love to hold your hand
642,1,i seriously love this woman im do happy shes doing well
643,1,ne ne dont be sad
644,1,why i thought thats your backup or smth sorry love snsnenens sorry sorry im glad youre back now
645,1,i love them i love the contrast of tony working on his tech and steve drawing traditionally whil
646,1,i love u chen
647,1,omg i love it chi omgg
648,1,honestly nsf twitter is helping me love my mom bod and thats extremely valuable thank you for being so supportive of me
649,1,ill wait altho i love caibao i do hope the official acc breathes instead
650,1,to my valentino happy hearts day my love thank you for the many years at sana mas dumami pa you know how mu
651,1,there is no way u vote for yes
652,1,love u
653,1,niccolo was so fine just for his lover to die before anything major happens what is that give us a damn break isayama
654,1,14 you are more than my soul i love you for the millionth time
655,1,please dont judge i love these pictures
656,1,going insane because i love these three more than anything else in this world
657,1,sana all inlove
658,1,i hope too he will be loved my more more people
659,1,srs i love this trio live
660,1,were so proud of you we love you just as much dude
661,1,thats why i love her sm
662,1,i love him so somuchh jinsnotes jinsnotes seokjin
663,1,confession i love onessss
664,1,ily love to see you so happy mamas
665,1,thank u baby i loves uuuuuu
666,1,i hope i can be with you everytime i miss you im lover
667,1,im loveless so i dont know how
668,1,i love u so much
669,1,well i didnt expect this much love i am so happy and so emotional you all really made my day excuse me while i
670,1,no i love you moren
671,1,so in love with my man
672,1,i will always love winter season night sky because of its visible stars
