count,label,text_clean
198,1,i love t brady lmfao i dont even know who he is mfer
199,1,yeyyyy im happy that you liked them
200,1,it looks so good oml
201,1,when i tell yall i fucking love this mannnn
202,1,youre always worth the wait love
203,1,no body loves me
204,1,saaaaaake please please take care of yourself sweetie sending you love and best wishes
205,1,i love you too
206,1,why i always end up reading her name as chole amanda my love for chole bhature
207,1,you put 3 loves i hope you had an amazing day kingwe love you
208,1,you did so well on the last mcd stage thank you so much i love youu lets meet tomorroe on yhy sketchbook
209,1,i just love that design
210,1,i love him so muchhhh
211,1,i love u more
212,1,ian telling no ho to come get no nigga back in blood ho just come get em love crazy tail self
213,1,hi ro happy v day ilysm ur one of my fav moots and i love seeing u on my tl pls i hope we can g
214,1,heyyy omg i love you guys
215,1,tannie ugh tae i love you dm
216,1,true love
217,1,its love
218,1,look at how soft they are dazai is so in love i cant even i love this lans
219,1,awwh i love you so much bribaby
220,1,love ya marta
221,1,manifesting i love the feel of her episodes
222,1,aw iloveyou pa skl
223,1,omgi love it
224,1,wow i love you
225,1,i cant believe you got me i love your design also
226,1,hannie hanweloveyou
227,1,i love suzy
228,1,omg i love my new job so much
229,1,i fall more and more in love with this stupid ass nigga everyday lmao
230,1,my babe you know i love you a lot
231,1,thank u chantelle i love u
232,1,why do 1012 year olds love revealing their age on social media
233,1,i love the transitions in mariposa de barrio from one actor to another to show them all grown up
234,1,its going to be ok we can get through this together i love you now whos getting this last cookie
235,1,pls go read this the way everything just developed is just so heartwarmingly good im in love
236,1,i love it
237,1,i knew it we can trust him thank you so much han jisung i love you
238,1,i love you
239,1,doesnt love me like they love you
240,1,this brought me so much joy man i love them sooo muchh
241,1,mon love
242,1,aww cuuute
243,1,yeah when famale do smth yalls end death masseges when ur oppa do smth yall be like noo he is our baby he didnt
244,1,i love him
245,1,youre my whole world i love you so much
246,1,yall always talking about the pickle hating and pickle lover pair what about the packaged sugar cookie hater ant the sugar cookie lover
247,1,syazreen and her siapa nak bet girlie loves betting
248,1,getwell mame love na love kita
249,1,we really have to use eunhyuk now dont we all for you love
250,1,you got this
251,1,i hope youre alright and remember youre loved appreciated and cared about
252,1,happy birthday jungwon we love you sm happyjungwonday
253,1,im on the keto diet but all my family absolutely love dominos and i love amazing clothes which i do
254,1,yeaaaaaa thats it they aint received a pair of sandals amp they love him
255,1,all your 37 followers must have loved that isnt
256,1,thank so much for supporting me everyone much love
257,1,barbie tingz outsold 911
258,1,yallz im shipping them so hard urgh ive repeated ep 16 recap on youtube like 100 times already mommy i love them
259,1,every part of spit it out slaps got tired of kick especially the chorus but i love all the other pa
260,1,love you so much too
261,1,every time i saw this episode i start crying koro senseis death
262,1,okay okay ill stop i just love these two more than anything
263,1,day 5 ten s gif i love this cant get out from my head 27dayswithten
264,1,its crazy i be in love with my glasses for a few days then i wanna new pair
265,1,the way falak loves sarah khan off
266,1,exactly i get they want us to keep getting our education but theyre going the wrong way about it in a lot of ways
267,1,omg my girl i love you
268,1,i love them
269,1,then next in the list was i loved you yes we only know pain
270,1,im such a hopeless romantic omg i love love makes my heart warm to see so many people surrounded by love fr
271,1,thank you my love
272,1,it is i love his osts so much
273,1,i seriously love how many crimeserial killer mystery documentaries are coming out on netflix like yes please sa
274,1,i love u
275,1,its so cute i love it
276,1,you guys were so great we love you guys so very much
277,1,to all huihuis out there thank u for streaming and working hard to for our junhui i love you guys and you guysbare doing great
278,1,ik i was just joking i love bam with all my heart
279,1,why did i think i was the only one my mother loveslike i got offended when she said she loves my sister
280,1,i used to hate it but now i love it they couldve done better tho
281,1,ill just cry i love him
282,1,happy valentines day i love you treasurebeautifulfullversion treasure
283,1,take care of yourself its okay your healthgtgtgtgtgt love you get well soonn
284,1,i love sasha she doesnt deserve to die
285,1,i feel like i saw so much love yesterday like not only between couples but with people and their best friends and family so sweet
286,1,happy valentines day to the absolute love of my life
287,1,i love seeing people be happily in love
288,1,nobiii i love u toooo
289,1,he loves u too
290,1,aaaaaaa i love you
291,1,sending love and light babes
292,1,hande my love she is so pretty and gorgeous
293,1,thank you lovely
294,1,seriously i loved working that shift
295,1,see you love me and i love you
296,1,these words r so cute n lovely im gonna cry i love them sm
297,1,i love how he had to tell us specifically that its a spoiler
298,1,i killed that ugly scary red flying ruin hunter lv67 thanks to baby diona i love you bb
299,1,some fresh fruit would be so lovely rn
300,1,i love you so much
301,1,hi love u
302,1,i just love yall so so much and i know you will do the same for me and my baby
303,1,0013 14022021 happy valentines guys i love you all
304,1,i love chris so much
305,1,tyy i love u
306,1,and furthermore idk what bullshit they referring too and i love my scorpio goddess queen too
307,1,honestly i love my dissertation topic but i forgot how to be productive like how did i read 50 articles a week l
308,1,why is it that in stories people love the shy girl but irl they couldnt care less why people are always ignored and overlooked
309,1,i love babies
310,1,all i need i love singing along to all of your songs i also love hawaii your such an incredible artist in so many ways
311,1,tanea is really da whole familys favorite cousin lol i know i fuckin love her wtf
312,1,awwwwwww little grampa oneeyed bebeeee i love that they fly him around and take him to snacks so sweet
313,1,i love you so much tae
314,1,wkhsksja to all my friends who hype my selfdoubting self i love u all
315,1,congrats love
316,1,noooo hes such a baby i love him
317,1,i love my daddy
318,1,i love this song so much
319,1,them this is what true love looks like
320,1,i wish i knew
321,1,ok tbh i thought it will be about new music but i love what he announced and im so proud of him
322,1,soup soupi will buy both of us tickets before that i promise love u sm
323,1,im so thankful to have you in my life too i love you so much you are so precious to me
324,1,aaaaaa i love those skins wish im that lucky one
325,1,not even bloons codenames nor scribblio was chill i love my chaotic queen to the moon and back
326,1,love u
327,1,heartbreaker remix we belong together remix boy streets remix loverboy remix h
328,1,aww i love you
329,1,shes my adorable bean
330,1,wishing you the happiest birthday loveyu
331,1,i love yelena but why did she have to make this face
332,1,omg super cute i love it so much
333,1,i feel emotional even though there are still contents coming i love you so much
334,1,eko loves you
335,1,this is so lovely
336,1,i love them all
337,1,10 years where i loved you the most
338,1,i would love to have some acnh friends acnh animalcrossingnewhorizons
339,1,really said without hesitation that his biggest fear is losing ciara im waiting for that kinda love
340,1,jake been saying i love you so much is such an eargasm
341,1,a total legend we loved following sir toms story last year such an inspiration rip
342,1,love that woman
343,1,but they dont love me
344,1,ugh not this making me cry i love you bestieee shout out to the kendrickverse for br
345,1,i love you my boy
346,1,they really did i was like what is going on
347,1,good morning and i really love seeing my timeline this morning and i still really surprised haha love you
348,1,hello i love you and i wanted to tell you once again how lucky i am to be your friend i love you i assure
349,1,i love you
350,1,happy new year my angel i love you son much my moon guy i really missed you im crying
351,1,i love you
352,1,take care bby i love you so much lt3
353,1,this win was everything he won the showmillions of hearts n love of his life forever she won the titlemillion
354,1,chamber five love me right i like it bye im gonna cry
355,1,love love love
356,1,theyre so chaotic i love them sm
357,1,he loves babies
358,1,i love it your voice are beautiful
359,1,good morning jing lucky you anyways ily drink lots of water dont skip meals and take care of yourself hun
360,1,dianna why do u type things like i love you deeply my girl no one types like that
361,1,omggg i love your voice so much
362,1,toni i really love all your threads
363,1,how can u not love this guy he is so soft ill never forgive yall for treating him like that fuck u all antis
364,1,i love devante so much bc even tho i miss his calls 810 times he never stops calling lol he know i be knocked out
365,1,where is the love
366,1,i love u so much zaira n same ur one of the sweetest and kindest persons ive ever met
367,1,we love blister in the sun cover
368,1,i love you so very much
369,1,sayang i love you
370,1,love u dude
371,1,i love this wallpapers thank youuu so muchh
372,1,i am so loved
373,1,i love when ppl have steeler rooms imma be one of those ppl
374,1,god i love u
375,1,love u
376,1,nicholas is the funniest 12 yr old i love him so much
377,1,i genuinely love watchin wha ppl get 4 gifts not cuz of da gifts but cuz of dey reaction
378,1,i really love this performance
379,1,i suddenly realized i have a thing for hands and gloves
380,1,ouch
381,1,the tl is in shambles we love to see it
382,1,i thought i hit u
383,1,i love you
384,1,thank u my love
385,1,i love ji so much
386,1,i love them especially silver
387,1,happy birthday for us love you ara
388,1,thankyouu
389,1,i love this photo so much tho
390,1,i needa stop bugging dez on this lovely sunday
391,1,i love when he wanna eat it for no reason
392,1,yahhhh park shin hye baby im in love
393,1,i love u
394,1,i love them more than anything
395,1,i really love females from new orleans accent
396,1,ahhhhhhhh lmao love that my svt stan anniversary is one day after my astro stan anniversary hahahaha
397,1,i love this video
398,1,i love him so much it hurts
399,1,hi love im so glad youre doing better
400,1,proud of you my love
401,1,thank you lord happy new year mylove
402,1,nvm its kei with her dn as loves mastb
403,1,banky amp i are one and the same i love it so much
404,1,i love facebook ima whole comedian on there
405,1,the death toll now is tragically 448681
406,1,ann i love u a lot and talking w u and i hope u have a good day and youll get some rest cuz u deserve it
407,1,same
408,1,love you see you next year take care tears
409,1,i love you awww
410,1,thank you for doing this my angel i love you so much
411,1,i love you
412,1,man i had such a nice valentines day i love my nigga so much
413,1,i love ur setups
414,1,finally got the petals for armor vinyls and bandana i love it so much i love you so much
415,1,so proud of all youve accomplished i love u so muchhh
416,1,plis lah ada chamber 5 flicker love me right sama i like it
417,1,i just cant get over how cute he is cavapoochonpuppy puppylove cavapoochonlife puppy dog dogs
418,1,wow andaming ongoing movies ni harry mylove styles ur so golden babe
419,1,i love
420,1,omg this scene is amazing as well i love this soundtrack
421,1,this is sweet joey i hope you find that kind of love one day
422,1,i love cdk man but why
423,1,exactly i love the socially awkward goth girlfriend and the way she and cal learned from each other
424,1,love this film but its so heartbreaking
425,1,i dont like her ive came to the conclusion that i fucking love her it hurts so much but i have to sa
426,1,abby i love u so much thank u lt3
427,1,i would miss you so much please dont think this i love you please message me anytime you feel like this
428,1,i think i just saw the love of my life amp shes in caon city
429,1,how could you not love jisoo
430,1,u r so sweet thank u i really so i want him to come home so i can love him like he deserves
431,1,make me love him more
432,1,hi i loved the quiz omg you did it so well
433,1,i love hugging you too baby
434,1,mwah i love you bestie
435,1,omg yay so glad you love them thank you again for your support love i am forever thankful
436,1,im in love with this drama i just finished and i already miss sejeong her character is wooow
437,1,pls i love u both
438,1,love u
439,1,yesss omg i love the mv
440,1,youre making my heart melt i love u
441,1,i would love that
442,1,sai bestie i love you so much wtf u deserve the world noo i miss u ahhh lets interact more lt33
443,1,its like a lil wayv shrine i love it
444,1,it be the least person you expect to show love
445,1,yuptoxic love that for me
446,1,anthuria is so pretty i love her so much
447,1,lmao hurt it is me
448,1,i love your hair
449,1,forever sobbing at the end of how to train your dragon 3 because its so beautiful and perfect and i love dragons
450,1,i love you
451,1,forever waiting for an elderly woman to gift me the perfect dress for the ball where i dance with love of my life
452,1,happy birthday 7yateeee entayy i love babe sm
453,1,i love this new comforter so much i think i im finna buy another
454,1,i love you so much
455,1,i love that the doctor i work with listens to edm while we see patients
456,1,i feel like id love this but im not ready for a angst saida rn that 3rd pic already got me imma bookmark u
457,1,i love him so much
458,1,omggggg u made me cry with this one oh my godddddddd i love you so much
459,1,i love you more even if you only love me as a fan
460,1,im love u
461,1,i love that for you bro its what you deserve
462,1,you did your best today hope you have enough rest and goodluck tomorrow too goodnight sunoo i love you so much
463,1,how can you not love this man
464,1,men just keep surprising us
465,1,love you
466,1,you got new message and daily reminder i always love u too in this way remember that
467,1,hi tl i love seeing edits on my tl and i wanted to ask where can i edit videos on my phone
468,1,yess i love him so much
469,1,your soooo sweet
470,1,thank youuu we love u
471,1,wanna keep your loved one protected get them one of these self defense butt plugs off for valentines day
472,1,i love morning zeke hes the happiest baby
473,1,in all seriousness im glad doyoung has a good support system he deserves all that love and more i look forward to watching him grow
474,1,thank you kenny love n miss u bunches
475,1,i love you cries
476,1,thank u
477,1,this is so beautiful yoongi thank you love
478,1,thank you for spending time with us we love you that much have a great holiday and have a nice dream best boi
479,1,i love you so much it was so cute
480,1,lrt i love them
481,1,i dont knwo
482,1,im srry no i dont remember u
483,1,good night bby i cant sleep but i love you
484,1,the way my daddy texts me is so cute like hes inlove with me or somn
485,1,im in love with everything in this au from whiskey in baekhyuns hand to yeols clothes
486,1,pusha t is shaking my table this morning i damn love this guy
487,1,blessed with the best i super love my bf
488,1,my magazine just arrived tysm i love it and it arrived super quickly llamahreviews
489,1,seokjins smile to yoongis i love you just made my day
490,1,when he finally realises he loves maria
491,1,i love this song so much
492,1,i love this sooooooooo much
493,1,the cameraman all over the placei love yall tho
494,1,i hear they make some lovely cement
495,1,i love you with every beat of my heart wallahi i care about u a lot i hope u know that
496,1,iloveyoumoreeachday my baby
497,1,i love jisoos big heart so much
498,1,thank u my love
499,1,why not love
500,1,8yearswithjungkook i will love you forever and i will always be proud of you in any way thank you for bringin
501,1,im so sorry angel love u so much
502,1,i love unexpected plans
503,1,i love you yo fr
504,1,she sure loved throwing drinks at the paps
505,1,i love the private message feature too i send daniel and jihoon messages at least once a day
506,1,i love pedicures so much
507,1,awww love you hun
508,1,wow galentines should be every weekend this was lovely
509,1,congratulations babe
510,1,i cant wait to find someone who shows me off and gives endless love
511,1,im in love
512,1,mannnnn i love this series i should be doing my english essay but lmfaooooo
513,1,i love chaos
514,1,brought valentines day in wit my friends thank yall for making me feel loved everyday
515,1,the st peter fam saddened hearing that news we loveyousomch bailyn may you walk in peace
516,1,i love that so much
517,1,oh my god im so sorry i hope youre doing alright sending u love
518,1,awww youre so lovely
519,1,and i love to watch him eating
520,1,rashford we love you o but please work on your decision making
521,1,iloveyou fav if you can see this
522,1,my uncle is the sweetest i just love his whole life
523,1,i love you
524,1,still take my love p
525,1,pleasei love pain
526,1,the lady bug thats so cute thank you karyn
527,1,i love them and this is adorable but also shipping aside jks genuinely so sweet hes generous w compliments
528,1,i love you so much
529,1,i checked and its been 16 chapters some we last saw them
530,1,yep they did and i love em too much i have an album on my phone with all minimoni selcas
531,1,hugsssss
532,1,das me the first time after marriage my man shows me love
533,1,i love the bond between my baby amp his grandparents
534,1,your not annoying at all she loves you
535,1,i love her sm
536,1,hes just gonna work himself to death
537,1,we love you sweetieeeee
538,1,love him too forever
539,1,he be the absolute cutest that deserves all the love and appreciation
540,1,my unrequited love omg thats cool hope u have a good time
541,1,omg jay i love ur hair sm
542,1,where tf yall be finding these people that love tf out yall i want me one
543,1,im tryna get a box too but congrats to along i love seeing this
544,1,isnt fuwa rlly cute im inlove with his voice
545,1,youre so precious mae thank you for being so kind i love you
546,1,my lovee
547,1,it hurts
548,1,i really love diamonds i love that shit so so so much man if anybody know me they know
549,1,the best kind of twitter there is and i love us for real
550,1,i still think about your debut album i love u
551,1,you are an amazing mother this shows a lot on how much he trusts and loves you
552,1,may pa unexpected visit with donut pa nga thank you love you
553,1,if we get love story on friday ill be so
554,1,i dont have any close moots but i would love to have one day
555,1,i love you
556,1,ion even b wanting love lol i jus want somebody to fall asleep w
557,1,love you
558,1,i love minho so much
559,1,love you
560,1,thank you lovely
561,1,i love lace fronts but fuck i forgot i gotta style and flat iron this bitch
562,1,same tbh
563,1,happy hearts dayyy i love you all
564,1,hi chle i know we dont really interact much but youre a lovely person and i would like to be besties with you
565,1,i love this baby boy so much winmetawin
566,1,i love my boyfriend
567,1,i didnt i just said grace is in love with me i just have fans
568,1,can u pick me up some of them soft pepmints while u there
569,1,still love them dark melt in ya mouth and not ya hands
570,1,facs she sent a beloved character to the great meat feast in the sky
571,1,when love turns into memories paubayamv
572,1,i love youuu tooo
573,1,does anyone elses dadstep dad love nascar
574,1,me too it fits
575,1,yess its a really honest deck and i love it
576,1,thank you thank you what a lovely gift
577,1,i cant just sit back and act oblivious to the fact that im getting cheated on when its someone i really love i
578,1,evan i dont know what were supposed to do love me anyway
579,1,im gonna love it i already know
580,1,its not twitter without sab replying to everyone but me then leaving still love u tho
581,1,thank u bestie i love u more
582,1,i love you too
583,1,yes love when they talk to each other
584,1,i wish i could understand what you say i try to learn english on my own but it is very slow i love you aj
585,1,40 year old men were about to fight at 711 cause one of them said the other had a big ass head gotta love hood 711s
586,1,i love you
587,1,keep shining i love you both so much and i just hope and pray that each thing you ever do turns out well am
588,1,i love it definitely was worth the wait death by rock and roll the pretty reckless
589,1,its my death this is so perfect
590,1,noo i understand
591,1,why would you say you love him then say hes only gonna perform one song the man has 5 albums
592,1,i love this so much theyd have the most beautiful family
593,1,i love her i want her to read me bedtime stories
594,1,i love you and im so proud of you i miss youuuu
595,1,omg i love spongebob
596,1,please i love sm keonhee
597,1,i love the fact that they call him yun yun
598,1,iam in love
599,1,ngis bgt good job teume love love
600,1,lmaooo i know rico mad
601,1,can someone edit love story to this jhopeplazaclarocolombia
602,1,getting yo pussy ate from the back then he eat yo ass and slide his tongue back down so nasty i love it
603,1,i love you
604,1,inyeop is so shyyyyy how can a person be so lovely
605,1,ily love to see you so happy mamas
606,1,happy birthday she is the one who never stops queenin and aashna i love you more than anything a
607,1,the smiles that engenes loves the most
608,1,i love ittt
609,1,i love how fellow yneh stans are so supportive of each other where my real life fris could never
610,1,thank you so much love we should talk more
611,1,to wara pem blle sher
612,1,mike i love you
613,1,thank you for celebrating your birthday with us rosie hope you enjoy your day love happiest birthday
614,1,love you
615,1,thank you for saying that at this hour i can feel the love radiating to me
616,1,tuyulllllll i love you too
617,1,cant wait to have the kind of love that my sister and her bf has thats the kind of love i should live for
618,1,i hope he comes home xiao needs his datefriend
619,1,i swear i love all the tracks that includes jeongyeons writing skill
620,1,noi loved it but i was probably spiraling that day
621,1,i love my uncle so much
622,1,lmao and my lover will tell me that swimming with sharks is a beautiful experience sir pls
623,1,this song was made to become a seokjin edit its so perfect and sweet im in love
624,1,i love the attorney i work for hes so sweet
625,1,true true misery does love company
626,1,how is everyone liking xiao i literally love him so much and hes made me so happy
627,1,so fivel reposted this photo and im getting emotional with all my love for sandra oh
628,1,mannn i love her
629,1,world domination by love
630,1,my friends are so thoughtfulgod i love these girls do much
631,1,when thinking of you i really think of a genuinely sweet person that i love
632,1,i love fly to my room so much thats my fave track from be hope we get ftmr mv
633,1,i love you
634,1,love you too
635,1,my bd dont love me nomore
636,1,everybody having babies amp starting families i love it im such a sucka deep down
637,1,i love me anigga with dreads
638,1,ofc im gonna love both kids cause my bestie is having twins
639,1,i would love to interact more
640,1,so so so lovely omg
641,1,guys i cant im crying because of mj i love him so much
642,1,i love you
643,1,i love u so much corey i hope youre doing okay
644,1,currently on my death bed
645,1,still sad about her death
646,1,loveeee u babyyy agh
647,1,my timeline today really want to make me cry amp make me fall in love all over again with this man
648,1,i have sag pluto 12h and rising id love more women as friends but i struggle to connect with them and keep the connection going
649,1,i love how they include yoongi even when he isnt physically there
650,1,i love views like just being at a really high up place and staring out into the open and looking at really nice scenery
651,1,my best friends i love them so much
652,1,juyeon and his love for tofu is admirable
653,1,i love you and i miss you
654,1,i have an important announcement dont love me yall my bestie dont love me
655,1,u know that i love you right mummmm brb crying versatile yunhyeong shiningstaryunhyeongday
656,1,would love to have it
657,1,what am i watching i love this its majestic
658,1,hi i worked extremely hard on these id love for people to see that lmao
659,1,i love you
660,1,i love youuuu both so much happy birthday jungwon happyjungwonday
661,1,ahhh ty
662,1,feeling unloved and excluded where am i
663,1,so many of my favorite humans birthdays are this week aquarius people really do love me unconditionally you all are heaven sent
664,1,h love you
665,1,wishing to be part of park hyo shin live audience in the future huhuhu i love his vocal better when its live
666,1,god lxc is truly best brother love him so much
667,1,of course
668,1,i love it
669,1,also ive known gabi since a few eps whereas weve known and loved sasha since s1 ofc were gonna be upset
670,1,i love me a hood bitch but with class type hood bitch
671,1,awwwwwwww i fucking love you
672,1,i was singing in love with another man yday amp my bf was like if u finish tht sentence ima slap the shit out you
673,1,lisa will definitely be the death of me ohmyghad youre so hot and sexc lisayaaaah how can you do that to
674,1,this song has been stuck in my mind since 2017 yeah id rather be a lover than a fighter fighter cause a
675,1,i love you too so much bal mwaah
676,1,i love it
677,1,miss ros made me fall in love with this song
678,1,tired and annoyed bc i dont wanna go to work tmmr
679,1,ur doing the absolute most bestie also dont u love that we can now put a face to the hundreds
680,1,thank you inkigayo for loves him sm
